cct,semaforo_std
01DPR0001V,0
01DPR0002U,0
01DPR0003T,1
01DPR0005R,0
01DPR0006Q,0
01DPR0007P,0
01DPR0008O,0
01DPR0009N,0
01DPR0010C,0
01DPR0012A,0
01DPR0013Z,0
01DPR0014Z,0
01DPR0015Y,0
01DPR0016X,0
01DPR0017W,0
01DPR0018V,0
01DPR0019U,0
01DPR0020J,0
01DPR0021I,0
01DPR0022H,0
01DPR0023G,0
01DPR0024F,0
01DPR0025E,0
01DPR0026D,0
01DPR0027C,0
01DPR0028B,1
01DPR0031P,0
01DPR0032O,0
01DPR0033N,0
01DPR0034M,0
01DPR0036K,0
01DPR0037J,0
01DPR0038I,0
01DPR0039H,0
01DPR0040X,1
01DPR0041W,0
01DPR0044T,0
01DPR0045S,0
01DPR0047Q,0
01DPR0048P,0
01DPR0049O,0
01DPR0050D,0
01DPR0051C,0
01DPR0052B,0
01DPR0055Z,0
01DPR0057X,0
01DPR0058W,0
01DPR0059V,1
01DPR0060K,0
01DPR0061J,0
01DPR0064G,1
01DPR0065F,0
01DPR0066E,0
01DPR0067D,0
01DPR0068C,0
01DPR0069B,0
01DPR0070R,1
01DPR0071Q,0
01DPR0072P,0
01DPR0073O,0
01DPR0074N,0
01DPR0075M,0
01DPR0076L,0
01DPR0078J,0
01DPR0079I,0
01DPR0080Y,0
01DPR0081X,0
01DPR0082W,1
01DPR0083V,0
01DPR0084U,0
01DPR0085T,0
01DPR0086S,0
01DPR0087R,0
01DPR0090E,0
01DPR0091D,0
01DPR0092C,0
01DPR0093B,0
01DPR0094A,0
01DPR0095Z,0
01DPR0096Z,0
01DPR0097Y,0
01DPR0098X,0
01DPR0099W,0
01DPR0100V,0
01DPR0101U,0
01DPR0102T,0
01DPR0103S,0
01DPR0104R,0
01DPR0105Q,0
01DPR0106P,0
01DPR0108N,0
01DPR0109M,0
01DPR0110B,1
01DPR0112Z,0
01DPR0115X,0
01DPR0116W,0
01DPR0117V,0
01DPR0118U,0
01DPR0119T,0
01DPR0121H,0
01DPR0123F,0
01DPR0124E,0
01DPR0127B,1
01DPR0129Z,0
01DPR0131O,0
01DPR0134L,0
